workclass,education,marital_status,occupation,relationship,race,gender,native_country,age,fnlwgt,educational_num,capital_gain,capital_loss,hours_per_week
3,15,2,6,0,4,1,38,37,248010,10,0,1887,40
4,15,2,3,0,4,1,38,56,321529,10,15024,0,40
7,11,2,14,3,4,0,38,28,168524,9,0,0,38
3,9,2,3,0,4,1,38,33,196385,13,0,1977,40
3,9,5,9,1,4,1,38,39,163205,13,0,0,50
4,14,2,9,5,4,0,38,42,240628,15,0,0,50
3,11,2,5,0,4,1,38,27,132267,9,0,0,40
1,15,2,10,0,4,1,38,51,174861,10,0,0,40
3,8,2,9,0,4,1,38,50,175029,11,0,0,40
3,9,2,9,5,4,0,38,34,357145,13,0,0,50
3,15,2,11,0,4,1,38,31,236861,10,0,0,55
4,11,2,11,0,4,1,38,52,311259,9,0,0,40
1,6,2,13,0,4,1,38,63,65479,5,7688,0,40
3,9,2,9,0,4,1,38,46,312088,13,15024,0,38
3,11,2,12,0,4,1,38,34,236861,9,0,0,40
3,11,2,13,0,4,1,38,47,212944,9,0,0,70
3,9,2,9,0,4,1,38,24,313956,13,0,0,40
3,15,2,5,0,4,1,38,29,255412,10,3103,0,40
3,0,2,13,0,4,1,38,58,65325,6,0,0,40
3,15,2,3,5,4,0,38,64,118944,10,0,0,40
7,11,2,14,0,4,1,38,53,237868,9,0,0,35
4,9,2,2,0,4,1,38,58,204021,13,15024,0,50
0,11,2,2,0,4,1,38,35,413930,9,0,0,40
3,11,2,5,0,4,1,38,32,174201,9,0,0,38
3,15,2,10,0,4,1,38,46,157857,10,0,0,40
3,11,2,3,0,4,1,38,42,171615,9,0,0,55
3,6,2,7,0,4,1,7,30,236543,5,0,0,32
5,8,4,4,1,4,1,38,34,163756,11,27828,0,60
3,15,2,2,0,4,1,38,39,329980,10,0,0,40
4,9,2,3,0,4,1,38,42,212894,13,0,0,60
1,7,2,12,0,4,1,38,56,38573,12,0,0,45
3,9,0,3,4,4,0,38,44,184527,13,4934,0,45
3,15,0,2,1,4,1,38,51,43354,10,0,0,42
3,9,2,3,0,4,1,38,37,98776,13,0,0,40
3,11,2,6,0,2,1,38,68,257557,9,0,0,40
5,15,2,4,0,4,1,38,43,388725,10,0,0,60
5,10,2,9,0,4,1,39,64,71807,16,15024,0,50
3,11,2,2,0,4,1,38,57,78020,9,0,0,40
3,12,2,3,0,4,1,38,34,87218,14,0,1887,50
3,11,2,13,0,4,1,38,29,39257,9,0,0,40
3,12,2,9,0,4,1,38,39,252445,14,0,0,45
3,11,2,3,0,4,1,38,66,275918,9,10605,0,40
3,9,4,9,1,4,0,38,27,106562,13,0,0,50
3,11,0,3,4,2,0,38,39,198654,9,99999,0,40
3,5,2,2,0,4,1,38,59,107318,4,5178,0,50
3,15,2,7,5,4,0,38,34,207564,10,0,0,12
3,11,2,13,0,4,1,38,32,224462,9,0,0,84
3,9,2,9,0,2,1,38,37,123361,13,0,0,50
5,14,2,9,0,4,1,38,50,165001,15,99999,0,80
3,11,2,2,0,4,1,38,55,197399,9,0,0,50
4,14,2,9,0,4,1,38,43,209547,15,0,0,25
5,15,2,11,0,4,1,38,45,355978,10,0,0,60
3,11,2,3,0,4,1,38,40,187294,9,0,0,40
5,11,2,3,0,2,1,38,43,126320,9,0,0,40
5,10,1,3,5,4,0,38,58,112076,16,0,1485,35
3,1,2,13,0,4,1,38,29,211208,7,0,0,99
3,11,2,3,0,4,1,38,49,27898,9,0,1977,55
3,9,0,9,2,4,0,38,50,138193,13,0,0,50
3,9,2,3,0,1,1,23,45,355781,13,0,0,45
3,9,2,9,5,4,0,38,38,272476,13,0,0,24
3,11,2,0,5,4,0,38,33,118941,9,0,0,40
3,0,2,13,0,4,1,38,50,280292,6,0,0,40
4,14,2,9,0,4,1,38,54,159219,15,99999,0,40
3,11,5,0,1,4,1,38,39,177140,9,0,0,40
3,15,2,0,5,2,0,38,32,185433,10,0,0,40
3,9,2,2,0,4,1,38,32,183977,13,0,0,55
3,9,2,3,0,4,1,38,31,160594,13,0,1887,50
3,10,2,9,0,4,1,38,44,118059,16,0,0,55
0,12,2,9,0,4,1,38,43,157237,14,0,0,40
3,9,2,9,0,4,1,38,37,20308,13,0,0,65
0,12,2,3,0,2,1,38,47,471990,14,0,0,40
0,12,4,9,1,4,1,30,39,149347,14,0,0,40
3,9,0,3,1,4,1,38,46,176026,13,27828,0,50
5,15,2,2,0,4,1,38,33,48520,10,0,0,40
7,11,2,14,5,4,0,38,38,48976,9,0,1887,10
3,15,2,3,0,4,1,38,61,142988,10,15024,0,45
5,11,2,13,0,4,1,38,35,455379,9,0,0,65
1,11,2,13,0,4,1,38,30,176992,9,0,0,50
3,9,2,11,0,4,1,38,38,52187,13,15024,0,50
3,15,2,2,0,4,1,38,44,98779,10,5178,0,40
3,11,2,13,0,4,1,38,52,165001,9,0,0,60
3,9,2,9,0,4,1,38,35,251396,13,0,0,50
3,9,0,3,1,4,0,38,37,178100,13,0,0,40
3,9,2,3,0,4,1,8,45,177536,13,0,0,45
5,11,2,2,0,1,1,29,37,191342,9,0,0,60
3,15,5,0,1,2,1,38,51,217480,10,8614,0,40
6,9,2,4,0,4,1,38,32,33945,13,0,0,40
3,9,2,9,0,4,1,38,51,144284,13,0,0,40
6,12,2,9,0,4,1,38,31,195181,14,0,0,35
3,4,2,3,0,4,1,38,73,113446,3,0,0,54
3,9,2,9,0,4,1,38,55,139834,13,0,0,40
3,15,2,0,5,4,0,38,29,118478,10,7298,0,50
3,12,2,3,0,4,1,38,41,198196,14,0,0,45
3,8,2,11,0,4,1,38,26,141876,11,3103,0,45
3,11,2,11,0,4,1,38,23,325179,9,0,0,40
5,9,2,9,5,4,0,10,37,143774,13,0,0,40
3,9,4,9,3,4,1,38,23,152328,13,13550,0,50
3,11,4,2,3,4,1,38,44,180599,9,0,0,40
3,15,2,5,0,4,1,38,31,188246,10,0,0,40
3,9,2,3,0,4,1,38,49,132576,13,0,0,50
3,11,2,6,5,4,0,38,54,174806,9,0,0,40
3,14,2,9,0,4,1,38,29,293073,15,7298,0,48
3,9,2,3,0,4,1,38,45,323798,13,7298,0,53
3,9,2,3,0,4,1,38,43,203554,13,0,1902,50
4,9,2,3,0,4,1,38,33,291333,13,7298,0,45
6,9,2,3,0,4,1,38,41,253250,13,7298,0,40
0,12,0,3,1,4,1,38,54,201127,14,0,0,42
0,9,2,3,5,4,0,38,57,223892,13,0,0,40
6,12,2,3,0,4,1,38,58,191318,14,15024,0,40
5,11,2,7,5,4,0,38,50,90525,9,15024,0,20
1,9,2,13,0,2,1,38,51,248327,13,0,0,40
0,12,2,3,0,4,1,38,35,104858,14,0,0,50
3,15,2,0,5,4,0,38,45,54038,10,0,1902,20
3,7,4,9,1,4,0,39,43,315971,12,0,0,32
1,14,2,3,0,4,1,38,59,240030,15,0,0,40
1,12,2,9,0,4,1,38,48,67716,14,7688,0,50
5,15,2,3,0,4,1,38,58,237546,10,0,0,70
3,9,2,4,0,4,1,38,24,321435,13,0,0,35
3,12,2,3,0,4,1,38,41,191547,14,99999,0,55
1,15,2,10,0,4,1,38,44,159449,10,0,0,80
3,12,2,9,0,4,1,38,54,387540,14,0,0,45
6,9,4,9,3,4,1,38,43,125831,13,99999,0,60
6,9,2,2,0,4,1,38,50,137815,13,0,0,40
3,9,0,3,1,4,1,38,58,199067,13,0,0,65
4,15,2,2,0,4,1,38,44,57233,10,0,0,40
4,15,2,13,0,4,1,38,37,132879,10,0,0,50
3,11,2,2,0,4,1,38,33,54318,9,0,0,40
5,12,2,9,0,4,1,38,56,174564,14,0,0,60
3,12,2,3,0,4,1,38,35,179579,14,0,1977,48
4,14,2,9,0,1,1,36,53,94214,15,7298,0,50
6,15,2,10,0,4,1,38,38,116975,10,0,1887,50
1,15,2,10,0,4,1,38,28,190911,10,0,0,40
3,11,2,2,0,4,1,38,51,85382,9,0,0,55
6,14,6,9,1,3,0,38,41,186990,15,0,0,52
6,9,2,0,5,2,0,38,37,241633,13,0,0,45
0,9,2,3,5,2,0,38,41,46366,13,0,0,50
6,9,4,3,1,4,0,38,25,77661,13,0,2444,40
4,11,2,2,0,4,1,38,44,60087,9,0,0,45
6,11,2,0,5,4,0,38,48,224752,9,0,0,40
3,9,4,9,1,4,0,38,36,102568,13,0,0,40
6,15,2,3,0,4,1,38,56,133728,10,0,0,35
3,9,2,3,0,4,1,38,37,265144,13,0,0,50
7,11,2,14,0,4,1,38,62,103575,9,5178,0,40
3,9,2,9,0,4,1,38,36,111545,13,0,1902,40
3,11,2,5,0,4,1,38,54,307973,9,0,0,40
1,10,4,9,1,4,0,38,45,211666,16,0,0,40
6,9,2,9,0,4,1,38,46,54260,13,0,0,10
1,9,2,2,0,2,1,38,34,191957,13,0,0,45
1,11,2,12,0,4,1,38,27,157449,9,0,0,50
3,9,2,11,0,4,1,38,46,185870,13,0,1902,40
5,15,2,2,0,4,1,38,23,40323,10,0,0,40
3,11,2,2,0,4,1,38,61,198231,9,0,0,40
3,9,2,3,0,4,1,38,42,26915,13,0,0,40
3,8,2,2,0,4,1,38,28,142764,11,7688,0,45
3,12,2,3,0,4,1,38,50,148431,14,0,0,55
0,12,0,12,1,4,0,38,36,327435,14,0,0,40
3,9,2,9,5,4,0,39,37,98644,13,0,0,16
3,9,2,3,0,4,1,38,29,108775,13,0,0,50
4,14,2,9,0,4,1,38,41,214247,15,0,2415,60
3,15,2,2,0,2,1,38,47,369438,10,0,0,30
1,12,2,9,0,4,1,38,47,169699,14,0,0,40
3,9,2,2,0,4,1,38,31,301251,13,0,0,50
3,11,2,11,0,2,1,38,37,106043,9,0,0,40
3,9,2,9,0,4,1,38,58,31532,13,0,0,40
6,9,2,9,0,4,1,38,45,276157,13,0,0,40
3,14,2,9,0,4,1,38,44,217039,15,99999,0,60
3,11,2,12,0,2,1,32,54,409173,9,0,0,50
3,15,2,11,0,4,1,38,36,151764,10,5178,0,40
3,3,2,0,0,4,1,31,42,67243,2,0,0,55
3,11,2,9,0,4,1,38,36,312206,9,0,0,60
5,15,2,2,0,4,1,38,45,213140,10,7688,0,45
3,7,2,11,0,4,1,38,90,149069,12,0,1825,50
3,11,2,6,0,4,1,38,50,69345,9,0,1902,44
3,11,2,2,0,4,1,38,37,112158,9,7688,0,99
4,11,2,3,0,4,1,38,50,145714,9,0,0,60
5,15,2,11,0,4,1,38,54,399705,10,0,0,55
3,9,2,12,0,4,1,38,30,169002,13,0,0,40
3,15,2,6,0,4,1,38,48,197836,10,0,0,40
3,15,2,13,0,2,1,38,56,140136,10,0,0,35
3,14,2,3,0,4,1,38,37,116409,15,0,0,40
5,15,2,3,0,4,1,38,57,27385,10,0,0,48
3,15,2,11,0,2,1,38,48,153312,10,0,0,60
3,10,2,9,0,1,1,2,38,216319,16,0,0,40
3,15,2,13,0,4,1,38,53,85423,10,0,0,40
5,8,2,7,5,4,0,38,41,134724,11,3103,0,40
3,14,2,11,0,4,1,38,49,186256,15,0,0,40
3,7,2,2,0,4,1,38,39,141584,12,0,0,60
3,12,2,3,0,4,1,38,49,380922,14,15024,0,80
6,11,0,3,1,4,1,38,51,22211,9,0,0,37
5,6,2,3,0,4,1,38,60,123190,5,0,1887,67
3,11,0,11,1,4,1,38,44,110028,9,27828,0,60
5,14,0,9,4,4,1,38,53,174102,15,25236,0,60
5,9,2,9,0,4,1,38,66,183249,13,0,0,20
3,11,2,6,0,2,1,38,38,210438,9,0,0,40
3,9,2,0,0,4,1,38,30,53373,13,0,0,40
1,15,2,0,0,4,1,38,38,273457,10,0,0,40
4,14,2,9,0,4,1,38,59,77816,15,99999,0,40
3,15,0,7,1,4,0,38,42,196158,10,8614,0,52
3,11,2,0,5,4,0,38,49,111558,9,0,1977,25
7,11,2,14,0,4,1,38,53,118058,9,0,0,40
0,12,2,9,0,4,1,39,41,171589,14,0,0,50
1,15,2,9,0,4,1,38,45,181964,10,0,1887,47
0,9,2,2,0,4,1,38,40,107584,13,0,0,40
0,9,2,3,0,4,1,38,53,36186,13,7298,0,40
3,8,2,12,0,4,1,38,25,203561,11,0,0,56
3,11,2,2,0,4,1,38,40,98466,9,0,0,40
6,10,2,9,0,4,1,38,53,195690,16,0,1902,50
4,12,0,9,1,2,1,38,37,94869,14,4787,0,40
3,8,2,3,0,4,1,38,47,54260,11,0,1887,60
3,9,2,9,5,2,0,38,25,629900,13,0,0,40
3,11,2,3,0,4,1,38,30,84119,9,0,0,65
3,12,2,3,0,4,1,38,47,47343,14,0,0,50
6,12,2,9,0,4,1,38,41,124520,14,0,0,40
6,7,2,9,0,4,1,38,32,247481,12,0,0,48
3,11,6,0,1,4,0,38,64,240357,9,0,0,40
3,9,2,11,0,4,1,38,63,201700,13,7298,0,40
3,12,2,9,0,4,1,10,56,227972,14,15024,0,48
6,12,2,0,0,4,1,38,58,299680,14,15024,0,43
3,9,2,2,0,4,1,38,44,90582,13,0,0,50
3,9,2,2,0,4,1,38,43,315037,13,0,0,45
4,9,2,3,0,4,1,38,45,61885,13,15024,0,48
3,12,2,0,0,4,1,38,34,334744,14,0,0,50
5,15,2,11,0,4,1,38,63,201600,10,0,1902,60
4,9,2,11,0,4,1,38,54,175339,13,0,2415,40
5,8,2,4,0,4,1,38,33,294434,11,0,0,76
3,6,2,5,0,4,1,38,53,162951,5,0,0,41
5,9,2,11,0,4,1,38,55,73684,13,15024,0,65
3,11,2,12,0,4,1,38,39,107164,9,0,0,40
3,9,2,3,0,4,1,38,29,120126,13,0,1848,40
5,11,2,13,0,4,1,38,41,54611,9,7298,0,50
3,11,2,0,0,4,1,38,52,173987,9,0,0,40
3,15,2,2,0,2,1,38,40,352080,10,0,0,40
3,9,2,3,0,4,1,38,42,210857,13,7688,0,50
6,0,2,2,0,4,1,38,34,238944,6,0,0,40
7,9,2,14,0,4,1,38,67,106175,13,0,0,20
3,14,2,9,0,4,1,38,44,120277,15,99999,0,60
3,11,2,13,0,1,1,29,27,82393,9,0,0,40
3,12,2,2,0,4,1,38,50,115284,14,0,0,40
3,11,2,2,0,4,1,38,42,29702,9,0,0,42
3,7,2,2,0,4,1,38,38,154541,12,4386,0,40
3,12,2,7,5,4,0,38,41,171839,14,0,0,50
3,9,2,3,0,4,1,38,43,115562,13,99999,0,50
4,14,2,9,0,4,1,38,56,124137,15,99999,0,45
7,11,2,14,0,1,1,38,65,91262,9,0,0,48
3,14,2,9,0,4,1,38,44,238574,15,0,0,50
3,12,0,9,4,4,0,38,44,222011,14,0,0,25
3,9,6,3,4,4,1,38,59,157749,13,0,3004,40
3,9,0,9,4,4,1,1,54,74660,13,0,0,40
3,15,2,0,0,4,1,38,31,305619,10,0,0,40
5,14,2,9,0,4,1,8,56,296991,15,0,0,55
1,12,5,9,1,4,1,38,51,181132,14,0,0,39
3,14,2,9,0,4,1,38,31,250087,15,0,0,50
3,11,2,3,0,4,1,38,35,225172,9,0,0,60
3,8,2,2,0,4,1,38,35,165007,11,4386,0,42
1,7,2,2,0,4,1,38,37,347491,12,0,0,40
5,15,2,9,0,4,1,38,53,163826,10,0,0,45
3,11,2,11,0,4,1,38,50,176215,9,7688,0,56
3,15,2,13,0,4,1,38,53,53833,10,0,0,32
3,7,2,11,0,4,1,38,46,219967,12,15024,0,45
3,9,2,2,0,4,1,38,41,283174,13,99999,0,40
5,9,2,3,0,4,1,38,43,185413,13,0,1977,50
3,15,2,3,0,4,1,38,53,56213,10,0,0,45
3,9,4,9,3,0,1,38,37,94706,13,27828,0,40
3,11,2,5,0,4,1,38,48,322183,9,0,0,35
5,11,2,9,0,4,1,38,27,226976,9,0,0,50
3,12,6,9,1,4,0,38,41,135056,14,10520,0,38
7,9,2,14,5,4,0,38,33,148380,13,3103,0,60
3,9,2,9,0,1,1,2,55,135339,13,0,0,40
4,9,2,0,5,4,0,38,42,202466,13,0,0,45
3,11,2,13,0,4,1,38,42,107563,9,0,0,40
3,11,2,0,0,4,1,38,36,188850,9,0,0,40
3,11,2,0,5,2,0,38,57,142080,9,0,0,38
3,15,2,3,0,4,1,38,63,172433,10,0,1887,40
3,0,2,2,0,4,1,38,38,415578,6,0,0,40
5,14,2,9,0,4,1,38,44,193882,15,0,0,50
3,11,2,2,0,4,1,38,54,167380,9,0,0,40
3,15,2,2,0,4,1,38,36,32086,10,7298,0,40
6,9,2,3,0,4,1,38,30,184901,13,0,0,40
3,15,2,3,0,4,1,38,47,132912,10,0,0,55
3,12,2,3,5,4,0,38,52,279344,14,15024,0,60
3,12,2,2,0,4,1,38,42,154374,14,0,0,55
3,9,3,3,4,4,1,38,37,112497,13,4934,0,50
3,11,2,6,0,4,1,38,40,174947,9,0,0,45
3,12,2,3,0,4,1,38,33,392812,14,0,1977,50
3,15,2,2,0,4,1,38,60,135158,10,15024,0,48
3,9,2,9,0,4,1,38,29,109494,13,5178,0,45
3,5,2,2,0,4,1,38,57,204209,4,3103,0,40
5,9,2,12,0,4,1,38,38,245090,13,0,0,50
3,9,2,11,5,4,0,38,38,44780,13,0,0,8
3,10,0,3,1,4,1,38,67,366425,16,99999,0,60
3,12,2,3,0,4,1,38,58,170480,14,0,0,60
3,8,2,0,0,4,1,38,48,224393,11,0,0,40
4,9,2,11,0,4,1,38,68,260198,13,0,0,40
3,10,2,3,5,4,0,38,41,195821,16,0,1902,40
3,12,2,3,0,4,1,38,35,108140,14,0,0,50
1,9,2,9,0,4,1,38,54,168212,13,7688,0,40
5,9,4,11,1,4,1,39,32,198613,13,0,0,45
3,15,2,0,3,4,1,38,30,509364,10,0,0,40
7,0,2,14,0,4,1,38,66,128614,6,0,0,15
1,15,2,10,0,4,1,38,33,83413,10,0,0,50
3,9,2,9,0,4,1,38,34,108023,13,0,0,40
5,14,2,9,0,4,1,38,33,103435,15,7688,0,50
3,12,2,11,0,4,1,38,28,632733,14,0,0,60
3,8,2,2,0,2,1,38,46,135339,11,0,0,40
1,12,0,9,1,4,0,38,44,157473,14,0,0,50
4,7,2,11,0,4,1,38,69,264722,12,0,0,40
3,11,2,11,0,4,1,38,36,188800,9,0,0,40
3,14,4,9,1,4,0,38,34,24361,15,10520,0,40
3,15,2,3,0,1,1,38,65,105586,10,20051,0,40
3,12,2,3,5,2,0,38,43,122473,14,0,1977,50
3,11,2,6,0,4,1,38,48,148576,9,0,0,40
6,8,2,9,0,4,1,38,45,72896,11,0,0,40
3,11,2,3,5,4,0,38,45,117310,9,0,0,50
3,9,2,3,0,4,1,38,49,366089,13,0,0,50
3,9,2,10,0,2,1,38,40,234397,13,0,0,40
0,12,2,0,5,4,0,38,42,178074,14,0,1902,40
3,7,4,3,1,4,0,38,37,114591,12,0,0,50
3,9,4,3,1,4,1,38,30,134639,13,8614,0,45
4,9,0,3,4,4,0,38,47,308241,13,0,0,60
3,15,4,0,4,4,1,38,43,214781,10,0,0,38
1,12,2,9,0,4,1,38,50,173630,14,0,0,36
0,7,5,9,4,4,0,38,42,348059,12,0,0,40
3,12,4,9,1,4,0,38,35,114765,14,0,0,38
3,12,2,11,0,4,1,38,51,250423,14,0,0,55
3,11,2,3,0,4,1,38,42,145441,9,0,0,50
3,7,2,3,0,4,1,38,36,382859,12,0,0,43
4,9,2,3,0,4,1,38,42,188738,13,7688,0,40
3,9,2,3,0,4,1,38,31,209101,13,0,0,50
3,8,4,3,1,4,1,38,28,278552,11,0,0,60
3,12,2,9,0,2,1,38,39,560313,14,0,0,45
3,11,0,3,4,4,0,38,46,139946,9,0,0,38
0,9,2,9,0,4,1,38,32,113838,13,0,0,40
3,12,2,10,0,4,1,38,49,28171,14,15024,0,78
3,9,4,3,2,4,0,38,24,211129,13,0,0,60
3,15,2,3,0,4,1,38,43,131650,10,0,0,40
1,15,2,10,0,4,1,38,47,127678,10,0,0,48
3,11,2,4,0,4,1,38,27,409246,9,0,0,40
5,10,0,9,4,4,1,1,49,43479,16,0,0,63
3,9,2,11,0,4,1,38,58,152731,13,0,0,40
3,15,2,11,0,4,1,38,41,228847,10,0,0,40
3,12,2,3,0,4,1,38,58,49893,14,0,0,50
6,10,2,9,0,1,1,18,33,150688,16,0,0,50
3,9,2,9,0,4,1,38,36,207824,13,7298,0,40
4,9,2,3,0,4,1,38,42,198282,13,0,0,60
7,11,2,14,5,4,0,38,55,125659,9,0,0,6
3,9,2,2,0,2,1,38,35,455469,13,0,0,40
3,9,2,9,0,4,1,38,37,269323,13,0,0,55
1,11,2,10,0,4,1,38,45,187715,9,0,0,40
0,11,2,2,0,4,1,38,44,38321,9,0,0,40
3,9,2,0,0,4,1,38,58,206814,13,7688,0,50
3,9,2,9,0,4,1,38,32,364657,13,0,0,50
3,14,2,9,0,4,1,38,33,208855,15,0,0,60
3,15,2,9,0,4,1,38,40,173651,10,0,0,40
3,11,2,7,0,2,1,39,64,146674,9,0,0,40
4,15,2,3,0,4,1,38,55,150917,10,0,1977,45
1,9,2,9,0,4,1,38,47,103540,13,0,0,50
6,9,2,9,0,4,1,38,40,55294,13,0,0,40
6,15,2,3,0,4,1,38,54,258735,10,0,0,40
5,15,2,10,0,4,1,38,56,177368,10,0,0,50
3,15,2,3,0,4,1,38,30,156015,10,0,0,45
6,15,2,6,0,4,1,38,35,308945,10,0,0,50
3,9,4,9,1,4,1,38,33,76493,13,0,0,50
3,9,2,11,0,4,1,38,47,105449,13,0,0,65
0,15,2,2,0,4,1,38,47,382532,10,0,1887,40
6,15,2,7,0,4,1,38,49,139268,10,0,0,70
5,9,2,2,0,4,1,38,37,200352,13,0,0,50
3,11,2,2,0,4,1,38,39,153047,9,0,0,50
3,11,2,6,0,4,1,38,29,154236,9,4386,0,58
3,11,2,2,0,4,1,38,33,301251,9,0,0,60
3,14,2,9,0,4,1,38,52,191130,15,15024,0,40
3,9,2,9,0,4,1,38,32,149368,13,0,0,40
1,12,2,3,0,4,1,38,57,237546,14,0,0,60
6,8,2,10,0,4,1,38,44,307468,11,0,0,50
5,11,2,2,0,4,1,38,46,27847,9,0,0,48
1,12,2,3,0,4,1,38,44,32627,14,0,1887,60
3,9,2,13,0,4,1,38,55,377113,13,15024,0,60
4,1,2,2,0,4,1,38,51,110327,7,0,0,60
6,9,2,0,0,4,1,38,42,392167,13,0,0,40
3,7,2,3,0,4,1,38,53,337195,12,0,0,45
3,9,4,3,1,2,1,38,38,226894,13,13550,0,40
1,11,2,10,3,4,1,38,44,178417,9,0,0,40
7,9,2,14,0,4,1,38,62,119986,13,0,0,60
1,11,2,13,0,3,1,22,52,192853,9,0,0,40
3,9,2,9,0,4,1,38,56,133876,13,0,0,40
4,14,2,9,0,4,1,38,52,229259,15,0,0,40
3,9,2,3,0,4,1,38,35,235485,13,0,0,40
6,12,2,3,0,4,1,38,48,241854,14,0,0,55
0,9,4,9,1,4,1,38,26,337575,13,0,0,40
0,15,2,0,5,0,0,38,41,29606,10,0,0,40
3,7,2,2,0,4,1,38,48,188610,12,0,0,48
3,15,2,2,0,4,1,39,51,145409,10,0,0,50
3,9,2,9,5,4,0,38,49,140782,13,0,2415,3
5,14,2,9,0,1,1,29,32,400061,15,15024,0,40
3,7,2,9,5,4,0,38,41,54422,12,0,0,40
5,15,2,2,0,4,1,38,37,175120,10,0,0,40
3,9,2,9,0,4,1,39,29,160510,13,0,0,50
3,11,2,9,0,4,1,39,58,223214,9,0,0,40
3,12,2,3,0,4,1,38,40,136986,14,99999,0,52
3,15,2,2,0,4,1,38,47,235108,10,5178,0,40
6,11,2,0,5,4,0,38,41,201363,9,0,0,38
4,15,2,2,0,4,1,39,41,244172,10,0,0,40
3,9,2,3,0,1,1,29,32,79586,13,0,0,40
3,9,2,9,5,4,0,38,35,123809,13,15024,0,35
3,9,2,9,0,4,1,38,35,194404,13,0,0,40
3,9,2,3,0,4,1,38,33,236396,13,15024,0,55
6,9,2,9,0,4,1,15,29,214881,13,0,0,40
3,11,2,5,0,2,1,38,37,177420,9,0,0,40
4,11,2,3,0,4,1,38,39,170174,9,0,0,60
3,9,2,13,0,4,1,38,44,40024,13,0,0,52
3,9,4,9,1,1,1,34,28,193260,13,0,0,50
3,11,2,11,0,4,1,38,45,238567,9,15024,0,50
3,9,2,9,0,4,1,38,42,234633,13,0,0,50
0,9,2,0,0,1,1,18,45,110884,13,0,0,45
1,12,2,9,5,2,0,38,54,217210,14,0,1887,38
3,9,2,11,0,4,1,38,48,370119,13,0,2415,50
3,11,4,5,3,2,0,38,30,427541,9,99999,0,40
3,9,4,0,3,4,1,38,30,144949,13,0,2559,40
5,9,2,11,0,4,1,38,57,113010,13,0,0,50
3,15,2,3,0,4,1,6,47,172155,10,0,0,37
4,15,2,9,0,4,1,38,36,141609,10,0,0,50
5,9,2,0,5,4,0,38,41,375526,13,0,0,40
3,12,2,9,0,4,1,38,31,291494,14,0,0,40
3,11,2,2,0,4,1,38,59,147098,9,0,0,40
3,9,2,3,0,4,1,38,35,154410,13,0,1977,50
3,11,2,3,0,1,1,38,60,95680,9,0,0,45
0,11,2,0,5,2,0,38,43,136105,9,0,1848,40
1,12,2,3,5,4,0,38,55,134042,14,0,0,40
3,15,4,2,1,4,1,38,29,253003,10,0,2258,45
3,11,2,6,0,4,1,38,57,195820,9,0,0,40
5,15,2,11,0,4,1,38,36,125933,10,5178,0,50
1,7,2,10,0,4,1,38,29,211032,12,0,0,72
